criterion,max_depth,min_samples_split,min_samples_leaf,n_estimators,accuracy,f1_score,recall,roc_auc,cv_recall
entropy,18,7,3,500,0.831124335046434,0.8374815570647192,0.831124335046434,0.935882192455262,0.8316855541189261
entropy,18,11,3,500,0.8272473176449373,0.8339461259638771,0.8272473176449373,0.935573263987431,0.8404912079767236
entropy,15,7,3,500,0.8231899738526733,0.8302595887637,0.8231899738526733,0.934090085908848,0.8428082875128066
entropy,15,11,3,500,0.8212063835542331,0.8284819527181495,0.8212063835542331,0.9333411862288697,0.8499149207144573
